name,Piscinas,Habitantes,Piscinas por cada 100 habitantes
Abengibre (Albacete),4,757,0.53
Alatoz (Albacete),20,529,3.78
Albacete (Albacete),3246,173050,1.88
Albatana (Albacete),18,693,2.6
Alborea (Albacete),13,650,2
Alcadozo (Albacete),25,655,3.82
Alcalá del Júcar (Albacete),24,1199,2
Alcaraz (Albacete),66,1405,4.7
Almansa (Albacete),769,24537,3.13
Alpera (Albacete),40,2275,1.76
Ayna (Albacete),16,638,2.51
Balazote (Albacete),38,2360,1.61
Balsa de Ves (Albacete),6,150,4
Ballestero, El (Albacete),4,409,0.98
Barrax (Albacete),22,1864,1.18
Bienservida (Albacete),11,610,1.8
Bogarra (Albacete),18,873,2.06
Bonete (Albacete),31,1057,2.93
Bonillo, El (Albacete),26,2837,0.92
Carcelén (Albacete),3,508,0.59
Casas de Juan Núñez (Albacete),57,1275,4.47
Casas de Lázaro (Albacete),32,344,9.3
Casas de Ves (Albacete),6,588,1.02
Casas-Ibáñez (Albacete),25,4522,0.55
Caudete (Albacete),653,10003,6.53
Cenizate (Albacete),14,1182,1.18
Corral-Rubio (Albacete),9,330,2.73
Cotillas (Albacete),9,128,7.03
Chinchilla de Monte-Aragón (Albacete),210,4182,5.02
Elche de la Sierra (Albacete),164,3624,4.53
Férez (Albacete),19,674,2.82
Fuensanta (Albacete),47,297,15.82
Fuente-Álamo (Albacete),80,2489,3.21
Fuentealbilla (Albacete),26,1816,1.43
Gineta, La (Albacete),171,2448,6.99
Golosalvo (Albacete),2,110,1.82
Hellín (Albacete),880,30268,2.91
Herrera, La (Albacete),14,349,4.01
Higueruela (Albacete),21,1184,1.77
Hoya-Gonzalo (Albacete),9,621,1.45
Jorquera (Albacete),15,360,4.17
Letur (Albacete),38,928,4.09
Lezuza (Albacete),40,1398,2.86
Liétor (Albacete),34,1200,2.83
Madrigueras (Albacete),83,4665,1.78
Mahora (Albacete),15,1359,1.1
Masegoso (Albacete),10,113,8.85
Minaya (Albacete),37,1537,2.41
Molinicos (Albacete),23,840,2.74
Montalvos (Albacete),8,96,8.33
Montealegre del Castillo (Albacete),35,2042,1.71
Motilleja (Albacete),23,548,4.2
Munera (Albacete),58,3513,1.65
Navas de Jorquera (Albacete),4,518,0.77
Nerpio (Albacete),14,1222,1.15
Ontur (Albacete),28,2028,1.38
Ossa de Montiel (Albacete),97,2352,4.12
Paterna del Madera (Albacete),12,360,3.33
Peñascosa (Albacete),11,331,3.32
Peñas de San Pedro (Albacete),35,1420,2.46
Pétrola (Albacete),15,696,2.16
Povedilla (Albacete),9,446,2.02
Pozohondo (Albacete),40,1635,2.45
Pozo-Lorente (Albacete),13,401,3.24
Pozuelo (Albacete),13,489,2.66
Recueja, La (Albacete),2,254,0.79
Riópar (Albacete),44,1357,3.24
Robledo (Albacete),12,363,3.31
Roda, La (Albacete),324,15515,2.09
Salobre (Albacete),9,501,1.8
San Pedro (Albacete),45,1153,3.9
Socovos (Albacete),54,1790,3.02
Tarazona de la Mancha (Albacete),192,6255,3.07
Tobarra (Albacete),339,7738,4.38
Valdeganga (Albacete),55,1943,2.83
Vianos (Albacete),2,355,0.56
Villa de Ves (Albacete),1,57,1.75
